Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Interesting
آمنت بقدرتها على الانجاز فأنجزت,1,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/521730.jpg",1
365 سؤالا واجابة مدهشة,3,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/522840.jpg",1
الرجال من المريخ النساء من الزهرة الدليل الرائع لفهم الجنس الاخر,4,4.3,0.00124,‎جون جراي‎,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/1/3/130610.jpg",1
حكايات ايسوب اكتشف عالم حكايات الحيوانات العجيب,0,0.0,0.0,‎اكتشف عالم حكايات الحيوانات العجيب‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/4/346666.jpg",1
العب وتعلم الارقام,1,0.0,0.0,‎سلسلة العب وتعلم‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/5/357966.jpg",1
كتابى الكبير للكلمات يحوي ما يزيد على 1000 كلمة بسيطة للاطفال,2,0.0,0.0,Unknown,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/5/358317.jpg",1
صوفي والقصيدة المثالية العادات 7 للاطفال السعداء العادة 6,0,0.0,0.0,‎شون كوفي‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, New Arrivals,, E-Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/517285.jpg",1
تعلم الانجليزية في 1000 كلمة,2,0.0,0.0,‎كارمين سايث ‎/‎ أنا سيرنا فارد‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/3/330695.jpg",1
جوجو وفطيرة الجوز العادات 7 للاطفال السعداء العادة 4,0,0.0,0.0,‎شون كوفي‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, New Arrivals,, E-Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/517287.jpg",1
365 حكاية,3,0.0,0.0,‎سلسلة 365 حكاية‎,غلاف مقوى,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/3/334983.jpg",1
ليلي والبسكويت المقزز العادات 7 للاطفال السعداء العادة 5,0,0.0,0.0,‎شون كوفي‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, New Arrivals,, E-Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/517289.jpg",1
أفضل 365 حكاية,3,0.0,0.0,‎سلسلة 356 حكاية‎,غلاف مقوى,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/3/334984.jpg",1
الدب جوب وجده العادات 7 للاطفال السعداء العادة 7,0,0.0,0.0,‎شون كوفي‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, New Arrivals,, E-Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/517291.jpg",1
