,Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image
38,ãÇÌÏæáíä,35,5,(3 reviews),ıãÕØİì áØİí ÇáãäİæáØíı,Paperback,"Best Sellers,, Fiction & Literature","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/3/536514.jpg"
39,ÃãíÑ ÇáÔÑ ÇáÌÒÁ ÇáÇæá,75,Null,Null,ıåæáí ÈáÇßı,Paperback,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/a/7/8/9a7850ce32333860d19f614d759f8bbcac71f239_567904.jpg"
40,íÍÈ ÇáÇØİÇá ÇáßáãÇÊ ÇáÇæáì,25,5,(3 reviews),ıÓáÓáÉ íÍÈ ÇáÇØİÇáı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/526711.jpg"
41,ÔİÇÁ ÇáØİá ÇáÊÇÆå ÈÏÇÎáß ßíİ ÊæŞİ ÑÏæÏ ÇáİÚá ÇáÇäÏİÇÚíÉ,49,5,(3 reviews),ıÑæÈÑÊ ÌÇßãÇäı,Paperback,"Jarir Publications Books,, Self Development,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/0/4/c/c/04ccd74f9683e21fdd9705e9c48235ce093d0e2a_571837.jpg"
42,ÃíŞÙ ŞæÇß ÇáÎİíÉ ßíİ ÊÊÍßã İæÑÇ ÈãÓÊŞÈáß ÇáĞåäí æÇáÚÇØİí æ ÇáÌÓãÇäí æ ÇáãÇáí,68,4.7,(3 reviews),ıÃäÊæäí ÑæÈäÒı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/1/2/123421.jpg"
43,ÇáÇåÏÇİ / ßíİ ÊÍÕá Úáì ßá ÔíÁ ÊÑíÏå ÃÓÑÚ ããÇ ÙääÊå ããßäÇ,41,5,(3 reviews),ıÈÑÇíä ÊÑÇíÓíı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, Bargain Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/8/383248.jpg"
44,áÇ ÃÚĞÇÑ ŞæÉ ÇáÇäÖÈÇØ ÇáĞÇÊí,46,Null,Null,ıÈÑÇíä ÊÑÇíÓíı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/8/385407.jpeg"
45,ÇáÓÇÚÇÊ ÌËÉ İí ãäÒá ÇáÇäÓÉ ÇáÚãíÇÁ,37,4.8,(4 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/450964.jpg"
46,ÇáÊáæíä ÇáÈÇÚË Úáì ÇáÕİÇÁ æÇáåÏæÁ İä ÇáæÚí ÇáÊÇã,45,5,(4 reviews),ıÇÕÏÇÑÇÊ ãßÊÈÉ ÌÑíÑı,Paperback,"Jarir Publications Books,, Best Sellers,, Crafts & Hobbies,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/455718.jpg"
47,ßÊÇÈ ÇáÊáæíä ãä ÃÌá ÇáåÏæÁ ÑÓæãÇÊ ÌãíáÉ áÊÎİíİ åãæãß,45,Null,Null,ıãÌãæÚÉ ãÄáİíäı,Paperback,"Jarir Publications Books,, Best Sellers,, Crafts & Hobbies,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/455727.jpg"
